FID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
84,29,MISSOURI,MO,St. Clair,29185,"St. Clair County, Missouri",674.980502102,9444.0,0.0,5585.0,40.0,3990.0,190.0,2052.0,293.0,320.0,100.0,19370.0,1281.0,1323.0,193.0,2431.0,16.0,1805.0,21.0,2139.0,169.0,281.0,82.6,510.0,15.0,32.0,57.8,66.0,27.0,1408.0,159.0,84.0,38.3,267.0,81.0,243.0,66.0,22.4,3.1,8.6,2.7,19370.0,1281.0,18.9,2.8,25.7,0.2,19.1,0.2,23.3,1.8,7.0,2.0,5.4,0.2,0.4,0.6,1.2,0.5,25.2,2.9,2.1,1.0,6.7,2.0,2.6,0.7,0.8158,0.7895,0.7982,0.8246,3.2281,0.8509,0.9649,0.0614,0.886,0.2368,2.1491,0.6316,0.4211,0.5789,1.0,0.5526,0.2719,0.9649,0.6053,0.6404,0.6579,3.1404,0.8509,9.5175,0.886,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1559.0,275.0,16.9,3.0,7323.0
85,29,MISSOURI,MO,St. Louis,29189,"St. Louis County, Missouri",507.771284637,1000560.0,0.0,438537.0,465.0,401716.0,1759.0,100613.0,4280.0,35514.0,1609.0,36518.0,399.0,48466.0,1580.0,164793.0,32.0,224447.0,0.0,117333.0,2109.0,36678.0,1284.7,326646.0,413.0,12871.0,1115.8,46182.0,1331.2,989.0,242.0,4428.0,506.6,28953.0,1263.0,18876.0,915.0,10.3,0.4,6.7,0.3,36518.0,399.0,7.0,0.2,16.5,0.1,22.4,0.0,11.9,0.2,9.1,0.3,32.6,0.0,1.4,0.1,10.5,0.3,0.2,0.1,1.1,0.1,7.2,0.3,1.9,0.1,0.0702,0.5614,0.0,0.0263,0.6579,0.0877,0.2895,0.3596,0.0351,0.693,1.3772,0.1228,0.9825,0.886,1.8684,0.9561,0.9386,0.0,0.0789,0.7368,0.5,2.2544,0.3246,6.1579,0.2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,80827.0,3062.0,8.2,0.3,1134698.0
86,29,MISSOURI,MO,Schuyler,29197,"Schuyler County, Missouri",307.304916189,4396.0,0.0,2080.0,35.0,1726.0,70.0,951.0,180.0,123.0,38.0,19152.0,1657.0,387.0,96.0,834.0,11.0,1133.0,0.0,734.0,88.0,189.0,49.2,112.0,11.0,12.0,42.9,41.0,22.8,211.0,43.0,20.0,13.3,96.0,38.0,51.0,73.0,22.1,4.1,6.0,1.8,19152.0,1657.0,13.3,3.3,19.0,0.6,25.8,0.0,16.9,1.9,11.0,2.8,2.5,0.3,0.3,1.0,2.0,1.1,10.1,2.1,1.2,0.8,5.6,2.2,1.2,1.7,0.7982,0.4386,0.8333,0.4386,2.5088,0.693,0.6228,0.9298,0.4737,0.9123,2.9386,0.9825,0.0263,0.5175,0.5439,0.2456,0.5439,0.4035,0.114,0.3772,0.1667,1.6053,0.114,7.5965,0.5526,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,782.0,188.0,18.0,4.3,3065.0
87,29,MISSOURI,MO,Scotland,29199,"Scotland County, Missouri",436.669122567,4893.0,0.0,2353.0,33.0,1786.0,101.0,781.0,196.0,113.0,45.0,23626.0,3355.0,537.0,90.0,909.0,21.0,1387.0,32.0,718.0,143.0,162.0,51.3,116.0,11.0,4.0,42.8,41.0,27.3,224.0,65.0,58.0,31.6,128.0,46.0,97.0,81.0,16.4,4.1,4.9,1.9,23626.0,3355.0,17.2,2.9,18.6,0.4,28.3,0.7,15.0,2.9,9.1,2.8,2.4,0.2,0.1,0.9,1.7,1.2,9.5,2.8,3.2,1.8,7.2,2.6,2.0,1.7,0.3596,0.2368,0.2719,0.7456,1.614,0.386,0.5351,1.0,0.2719,0.6754,2.4825,0.7719,0.0175,0.193,0.2105,0.0351,0.4649,0.3596,0.9035,0.7368,0.5263,2.9912,0.7632,7.2982,0.4561,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1402.0,232.0,29.2,4.9,3663.0
88,29,MISSOURI,MO,Wright,29229,"Wright County, Missouri",681.771246703,18378.0,0.0,8649.0,78.0,7395.0,230.0,4560.0,651.0,673.0,141.0,18502.0,1655.0,2565.0,340.0,3429.0,43.0,4587.0,77.0,3639.0,347.0,652.0,156.8,820.0,17.0,44.0,77.8,124.0,58.7,1340.0,232.0,245.0,98.3,551.0,130.0,200.0,75.0,25.3,3.6,9.1,2.0,18502.0,1655.0,20.7,2.8,18.7,0.2,25.0,0.4,20.0,1.9,8.8,2.1,4.5,0.1,0.3,0.5,1.4,0.7,15.5,2.7,3.3,1.3,7.5,1.7,1.1,0.4,0.9211,0.8333,0.8947,0.886,3.5351,0.9474,0.5439,0.8684,0.7281,0.6053,2.7456,0.9123,0.2105,0.4561,0.6667,0.2895,0.3596,0.7281,0.9123,0.7982,0.1491,2.9474,0.7544,9.8947,0.9211,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3355.0,584.0,18.5,3.2,15783.0
89,29,MISSOURI,MO,Benton,29015,"Benton County, Missouri",704.04292281,18825.0,0.0,14042.0,65.0,8128.0,310.0,3581.0,440.0,674.0,174.0,19487.0,971.0,2140.0,244.0,5285.0,32.0,3325.0,23.0,4647.0,345.0,468.0,127.6,885.0,35.0,4.0,66.2,79.0,36.6,3482.0,357.0,175.0,65.6,488.0,117.0,249.0,100.0,19.3,2.4,9.8,2.5,19487.0,971.0,14.8,1.7,28.1,0.2,17.7,0.1,25.0,1.9,5.8,1.6,4.7,0.2,0.0,0.4,0.6,0.3,24.8,2.5,2.2,0.8,6.0,1.4,1.3,0.5,0.6491,0.8947,0.7719,0.5965,2.9123,0.7719,0.9912,0.0351,0.9386,0.0702,2.0351,0.5263,0.2632,0.1053,0.3684,0.1053,0.114,0.9561,0.6404,0.4386,0.2807,2.4298,0.4386,7.7456,0.5877,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2403.0,338.0,12.9,1.8,15301.0
90,29,MISSOURI,MO,Carter,29035,"Carter County, Missouri",507.358179436,6249.0,0.0,3225.0,25.0,2480.0,148.0,1275.0,328.0,256.0,81.0,21296.0,2448.0,855.0,177.0,1128.0,36.0,1513.0,60.0,1398.0,207.0,232.0,79.2,343.0,22.0,0.0,60.0,17.0,28.3,745.0,122.0,88.0,50.6,247.0,80.0,45.0,48.0,20.6,5.3,9.5,3.1,21296.0,2448.0,20.1,4.2,18.1,0.6,24.2,1.0,22.5,3.3,9.4,3.1,5.5,0.4,0.0,1.0,0.5,0.9,23.1,3.8,3.5,2.0,10.0,3.2,0.7,0.8,0.7281,0.8596,0.4737,0.8772,2.9386,0.7807,0.5263,0.7368,0.8509,0.7368,2.8509,0.9474,0.4386,0.0,0.4386,0.1491,0.1053,0.9386,0.9298,0.9561,0.0088,2.9386,0.7368,9.1667,0.8246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,1082.0,205.0,17.4,3.3,5339.0
91,29,MISSOURI,MO,Dallas,29059,"Dallas County, Missouri",540.766125644,16508.0,0.0,7589.0,34.0,6150.0,268.0,2970.0,650.0,706.0,196.0,17378.0,1285.0,2109.0,358.0,3151.0,36.0,3917.0,58.0,3588.0,473.0,512.0,175.7,918.0,116.0,117.0,98.8,22.0,25.2,1617.0,284.0,198.0,103.8,466.0,135.0,218.0,80.0,18.2,4.0,10.8,3.0,17378.0,1285.0,18.6,3.2,19.1,0.2,23.7,0.4,22.0,2.9,8.3,2.8,5.6,0.7,0.8,0.6,0.3,0.3,21.3,3.8,3.2,1.7,7.6,2.2,1.3,0.5,0.5351,0.9386,0.9649,0.8158,3.2544,0.8596,0.6316,0.6579,0.8158,0.5175,2.6228,0.8596,0.4649,0.7982,1.2632,0.6754,0.0263,0.9035,0.8947,0.807,0.2719,2.9035,0.7018,10.0439,0.9474,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3400.0,539.0,20.9,3.3,11458.0
92,29,MISSOURI,MO,DeKalb,29063,"DeKalb County, Missouri",421.357457792,12706.0,0.0,4315.0,93.0,3774.0,157.0,1296.0,368.0,243.0,72.0,17584.0,1160.0,1332.0,174.0,1991.0,4.0,2158.0,11.0,1627.0,254.0,218.0,102.6,2362.0,302.0,19.0,66.1,209.0,94.2,617.0,128.0,42.0,42.5,202.0,74.0,3531.0,195.0,14.2,4.0,5.5,1.6,17584.0,1160.0,14.1,1.8,15.7,0.1,17.0,0.1,17.7,2.7,5.8,2.7,18.6,2.4,0.2,0.5,4.8,2.2,14.3,3.0,1.1,1.1,5.4,1.9,27.8,1.5,0.2368,0.2982,0.9561,0.5351,2.0263,0.5263,0.2632,0.0088,0.5526,0.0877,0.9123,0.0439,0.9035,0.2807,1.1842,0.6491,0.8421,0.6579,0.0877,0.3509,1.0,2.9386,0.7281,7.0614,0.3947,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,808.0,180.0,8.8,2.0,10581.0
93,29,MISSOURI,MO,Iron,29093,"Iron County, Missouri",550.263962256,10220.0,0.0,5276.0,70.0,4050.0,160.0,2124.0,309.0,444.0,96.0,19270.0,1031.0,1392.0,169.0,1927.0,48.0,2161.0,26.0,2490.0,205.0,404.0,89.9,572.0,5.0,0.0,68.0,53.0,23.4,946.0,146.0,102.0,39.1,426.0,80.0,375.0,139.0,21.8,3.2,10.3,2.2,19270.0,1031.0,19.2,2.3,18.9,0.5,21.1,0.3,25.2,2.0,10.0,2.2,5.6,0.0,0.0,0.7,1.0,0.4,17.9,2.7,2.5,1.0,10.5,2.0,3.7,1.4,0.7895,0.9123,0.8246,0.8333,3.3596,0.9035,0.5965,0.1491,0.9474,0.8421,2.5351,0.807,0.4737,0.0,0.4737,0.1842,0.2105,0.8421,0.7895,0.9737,0.7456,3.5614,0.9912,9.9298,0.9386,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1574.0,180.0,15.9,1.8,10605.0
94,29,MISSOURI,MO,Moniteau,29135,"Moniteau County, Missouri",415.025318196,15840.0,0.0,6141.0,80.0,5492.0,143.0,1779.0,371.0,330.0,91.0,21068.0,1141.0,1741.0,202.0,2370.0,64.0,4027.0,33.0,2013.0,248.0,343.0,96.2,1619.0,6.0,216.0,102.8,144.0,66.7,513.0,113.0,121.0,47.7,350.0,89.0,1351.0,213.0,12.3,2.6,4.6,1.3,21068.0,1141.0,16.4,1.9,15.0,0.4,25.4,0.2,13.9,1.7,6.2,1.7,10.2,0.0,1.5,0.7,2.3,1.1,8.4,1.8,2.2,0.9,6.4,1.6,8.5,1.3,0.1228,0.1579,0.5088,0.7018,1.4912,0.3596,0.1754,0.9123,0.1579,0.1404,1.386,0.1491,0.7105,0.9123,1.6228,0.8509,0.6316,0.2895,0.6579,0.5351,0.9035,3.0175,0.7982,7.5175,0.5175,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2176.0,253.0,15.0,1.8,12797.0
95,29,MISSOURI,MO,Pulaski,29169,"Pulaski County, Missouri",547.100853281,53302.0,0.0,18561.0,144.0,15298.0,520.0,6372.0,1179.0,1870.0,456.0,20464.0,951.0,2905.0,417.0,4014.0,66.0,12170.0,0.0,6928.0,708.0,1422.0,263.5,15980.0,40.0,365.0,200.6,737.0,251.7,1904.0,298.0,375.0,182.6,883.0,232.0,9539.0,390.0,14.6,2.7,10.8,2.6,20464.0,951.0,10.1,1.5,7.5,0.1,22.8,0.0,17.4,1.7,9.3,1.7,30.0,0.1,0.7,0.4,4.0,1.4,10.3,1.6,2.5,1.2,5.8,1.5,17.9,0.7,0.2719,0.9386,0.6316,0.1667,2.0088,0.5088,0.0,0.4123,0.5351,0.7281,1.6754,0.2368,0.9649,0.7895,1.7544,0.8947,0.7807,0.4211,0.7632,0.4211,0.9912,3.3772,0.9386,8.8158,0.7456,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4844.0,816.0,12.1,2.0,46321.0
96,29,MISSOURI,MO,Reynolds,29179,"Reynolds County, Missouri",808.477211853,6530.0,0.0,4001.0,38.0,2652.0,122.0,1245.0,226.0,236.0,64.0,20792.0,1625.0,1137.0,152.0,1492.0,18.0,1378.0,45.0,1651.0,174.0,153.0,53.8,343.0,15.0,0.0,60.0,7.0,19.2,863.0,120.0,33.0,17.8,158.0,43.0,206.0,60.0,19.6,3.6,8.8,2.4,20792.0,1625.0,24.0,3.2,22.8,0.3,21.1,0.7,25.9,2.7,5.8,2.0,5.3,0.2,0.0,1.0,0.2,0.5,21.6,3.0,1.2,0.7,6.0,1.7,3.2,0.9,0.6754,0.807,0.5439,0.9561,2.9825,0.7982,0.8947,0.1404,0.9649,0.0789,2.0789,0.5877,0.3772,0.0,0.3772,0.114,0.0175,0.9211,0.1754,0.4386,0.693,2.2456,0.3158,7.6842,0.5702,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,831.0,141.0,13.0,2.2,5656.0
97,29,MISSOURI,MO,Sullivan,29211,"Sullivan County, Missouri",647.981267624,6416.0,0.0,3338.0,36.0,2384.0,115.0,1037.0,217.0,115.0,40.0,20579.0,1194.0,719.0,112.0,1203.0,23.0,1474.0,9.0,964.0,98.0,225.0,63.1,1401.0,15.0,324.0,118.4,44.0,20.0,346.0,71.0,87.0,39.4,154.0,43.0,113.0,86.0,16.4,3.5,4.0,1.4,20579.0,1194.0,16.2,2.5,18.8,0.4,23.0,0.1,15.2,1.5,9.4,2.6,21.8,0.2,5.4,2.0,1.3,0.6,10.4,2.1,3.6,1.6,6.5,1.7,1.8,1.3,0.3596,0.0526,0.614,0.6754,1.7018,0.4386,0.5702,0.4561,0.2895,0.7632,2.0789,0.5789,0.9474,1.0,1.9474,0.9912,0.2895,0.4561,0.9386,0.5702,0.4474,2.7018,0.5965,8.4298,0.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,852.0,121.0,13.5,1.9,6060.0
98,29,MISSOURI,MO,Texas,29215,"Texas County, Missouri",1177.26536265,25690.0,0.0,11600.0,95.0,9239.0,366.0,6301.0,868.0,692.0,209.0,17367.0,1132.0,3180.0,386.0,4926.0,75.0,6040.0,209.0,5442.0,514.0,879.0,199.4,2215.0,15.0,28.0,78.5,146.0,49.4,2510.0,349.0,166.0,87.2,560.0,121.0,1389.0,231.0,26.2,3.6,7.4,2.2,17367.0,1132.0,17.9,2.2,19.2,0.3,23.5,0.8,22.5,2.1,9.5,2.1,8.6,0.1,0.1,0.3,1.3,0.4,21.6,3.0,1.8,0.9,6.1,1.3,5.4,0.9,0.9474,0.6404,0.9737,0.7719,3.3333,0.886,0.6404,0.5789,0.8509,0.7719,2.8421,0.9386,0.6491,0.2368,0.886,0.4561,0.2807,0.9211,0.5,0.4737,0.8246,3.0,0.7719,10.0614,0.9561,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4104.0,815.0,17.0,3.4,22249.0
99,29,MISSOURI,MO,Webster,29225,"Webster County, Missouri",592.562434816,37075.0,0.0,14496.0,85.0,13122.0,222.0,6737.0,864.0,881.0,172.0,20424.0,918.0,3360.0,326.0,5370.0,48.0,10091.0,17.0,5250.0,387.0,1018.0,210.0,1982.0,47.0,495.0,210.8,353.0,103.5,1914.0,272.0,541.0,143.2,893.0,156.0,929.0,207.0,18.7,2.4,5.6,1.1,20424.0,918.0,14.0,1.4,14.5,0.1,27.2,0.0,14.5,1.1,7.8,1.6,5.3,0.1,1.4,0.6,2.4,0.7,13.2,1.9,4.1,1.1,6.8,1.2,2.5,0.6,0.5965,0.3246,0.6579,0.5088,2.0877,0.5614,0.1491,0.9912,0.193,0.4035,1.7368,0.2982,0.4035,0.9035,1.307,0.6842,0.6667,0.6053,0.9737,0.6579,0.6404,3.5439,0.9825,8.6754,0.7281,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,6065.0,804.0,16.8,2.2,27865.0
100,29,MISSOURI,MO,Buchanan,29021,"Buchanan County, Missouri",408.025678127,89415.0,0.0,38470.0,134.0,33330.0,568.0,15652.0,1344.0,2917.0,339.0,23189.0,711.0,7675.0,667.0,13089.0,82.0,20540.0,81.0,13460.0,723.0,3629.0,339.6,13986.0,51.0,1278.0,339.6,3021.0,355.1,1678.0,264.0,602.0,157.3,3023.0,286.0,4100.0,361.0,18.4,1.6,6.5,0.8,23189.0,711.0,12.8,1.1,14.6,0.1,23.0,0.1,15.6,0.8,10.9,1.0,15.6,0.1,1.5,0.4,7.9,0.9,4.4,0.7,1.8,0.5,9.1,0.9,4.6,0.4,0.5614,0.5175,0.3158,0.3684,1.7632,0.4561,0.1579,0.4474,0.3421,0.9035,1.8509,0.3772,0.8509,0.9211,1.7719,0.9035,0.9123,0.0877,0.5088,0.9035,0.7982,3.2105,0.8772,8.5965,0.7105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,10815.0,962.0,12.5,1.1,98344.0
101,29,MISSOURI,MO,Hickory,29085,"Hickory County, Missouri",398.807552337,9267.0,0.0,6735.0,52.0,3962.0,255.0,2295.0,344.0,392.0,139.0,18694.0,1379.0,1308.0,204.0,2979.0,35.0,1611.0,49.0,2155.0,232.0,181.0,64.4,415.0,15.0,14.0,58.4,2.0,15.3,2382.0,262.0,22.0,22.8,212.0,85.0,94.0,88.0,25.2,3.7,11.6,3.9,18694.0,1379.0,18.2,2.9,32.1,0.4,17.4,0.5,23.5,2.5,4.6,1.6,4.5,0.2,0.2,0.7,0.0,0.2,35.4,3.9,0.6,0.6,5.4,2.1,1.0,0.9,0.9123,0.9912,0.8772,0.7895,3.5702,0.9561,1.0,0.0175,0.8947,0.0,1.9123,0.4123,0.2281,0.2982,0.5263,0.2281,0.0,1.0,0.0175,0.3509,0.0965,1.4649,0.0439,7.4737,0.4912,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1453.0,257.0,15.8,2.8,7394.0
102,29,MISSOURI,MO,Oregon,29149,"Oregon County, Missouri",789.795207508,10922.0,0.0,5435.0,39.0,4339.0,165.0,2809.0,441.0,236.0,85.0,18080.0,1221.0,1267.0,189.0,2514.0,69.0,2448.0,83.0,2725.0,256.0,326.0,96.9,607.0,11.0,0.0,68.0,16.0,20.8,998.0,146.0,59.0,36.8,270.0,74.0,140.0,79.0,26.3,4.1,5.5,2.0,18080.0,1221.0,16.4,2.4,23.0,0.6,22.4,0.8,25.3,2.3,7.5,2.2,5.6,0.1,0.0,0.7,0.3,0.4,18.4,2.7,1.4,0.8,6.2,1.7,1.3,0.7,0.9561,0.2982,0.9298,0.7018,2.886,0.7632,0.9035,0.3509,0.9561,0.3421,2.5526,0.8158,0.4561,0.0,0.4561,0.1667,0.0351,0.8684,0.2456,0.5088,0.2368,1.8947,0.2018,7.7895,0.5965,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1764.0,257.0,16.4,2.4,9060.0
103,29,MISSOURI,MO,Ripley,29181,"Ripley County, Missouri",629.538824511,13936.0,0.0,6537.0,45.0,5353.0,174.0,3312.0,507.0,468.0,112.0,17986.0,1447.0,2101.0,239.0,2703.0,21.0,3242.0,62.0,3896.0,322.0,376.0,108.8,637.0,34.0,35.0,77.4,92.0,52.3,1564.0,218.0,114.0,57.8,389.0,103.0,57.0,74.0,23.9,3.7,7.9,1.9,17986.0,1447.0,21.8,2.5,19.4,0.2,23.3,0.4,28.1,2.3,7.0,2.0,4.6,0.2,0.3,0.6,1.4,0.8,23.9,3.4,2.1,1.1,7.3,1.9,0.4,0.5,0.886,0.6842,0.9386,0.9211,3.4298,0.9123,0.6667,0.5263,0.9912,0.2281,2.4123,0.7368,0.2368,0.4737,0.7105,0.3246,0.3333,0.9474,0.614,0.7632,0.0,2.6579,0.5614,9.2105,0.8333,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2188.0,297.0,15.8,2.1,11572.0
104,29,MISSOURI,MO,Saline,29195,"Saline County, Missouri",755.49234559,23214.0,0.0,10090.0,102.0,8785.0,192.0,3748.0,507.0,546.0,152.0,20446.0,725.0,2331.0,240.0,3905.0,60.0,5355.0,54.0,4148.0,277.0,1019.0,177.7,4364.0,16.0,466.0,162.5,489.0,124.5,648.0,127.0,196.0,73.2,804.0,154.0,1378.0,221.0,17.1,2.3,4.8,1.4,20446.0,725.0,15.4,1.6,16.8,0.3,23.1,0.2,18.2,1.2,11.6,2.0,18.8,0.1,2.1,0.7,4.8,1.2,6.4,1.3,2.2,0.8,9.2,1.7,5.9,1.0,0.4211,0.2193,0.6404,0.6228,1.9035,0.4912,0.3596,0.4912,0.5965,0.9561,2.4035,0.7281,0.9123,0.9649,1.8772,0.9649,0.8509,0.1842,0.6842,0.9123,0.8421,3.4737,0.9649,9.6579,0.8947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2107.0,282.0,9.3,1.2,22341.0
105,29,MISSOURI,MO,Wayne,29223,"Wayne County, Missouri",759.176067165,13341.0,0.0,7991.0,31.0,5612.0,263.0,3003.0,486.0,464.0,109.0,18378.0,1341.0,2380.0,286.0,2925.0,36.0,2805.0,69.0,3708.0,342.0,437.0,123.0,586.0,11.0,14.0,65.7,31.0,22.4,2415.0,257.0,138.0,71.2,379.0,119.0,161.0,51.0,23.0,3.7,9.1,2.1,18378.0,1341.0,24.7,3.0,21.9,0.3,21.0,0.5,28.1,2.6,7.8,2.2,4.4,0.1,0.1,0.5,0.4,0.3,30.2,3.2,2.5,1.3,6.8,2.1,1.2,0.4,0.8596,0.8333,0.9123,0.9737,3.5789,0.9649,0.8509,0.1228,0.9912,0.4211,2.386,0.7105,0.2018,0.2193,0.4211,0.1316,0.0526,0.9825,0.7719,0.6579,0.2105,2.6754,0.5702,9.0614,0.7895,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1880.0,272.0,14.2,2.1,10459.0
106,29,MISSOURI,MO,Jackson,29095,"Jackson County, Missouri",604.572075363,683643.0,0.0,315466.0,407.0,276857.0,1513.0,115709.0,3837.0,23812.0,1077.0,27665.0,338.0,46709.0,1190.0,92606.0,48.0,164647.0,0.0,91530.0,1965.0,30693.0,1289.7,255231.0,539.0,10970.0,812.9,41265.0,1271.0,2652.0,318.0,4356.0,473.6,26383.0,1039.0,11488.0,836.0,17.2,0.6,6.7,0.3,27665.0,338.0,10.2,0.3,13.5,0.1,24.1,0.0,13.5,0.3,11.1,0.5,37.3,0.1,1.7,0.1,13.1,0.4,0.8,0.1,1.6,0.2,9.5,0.4,1.7,0.1,0.4298,0.5614,0.0526,0.1842,1.2281,0.2193,0.0789,0.7193,0.1228,0.9298,1.8509,0.386,0.9912,0.9474,1.9386,0.9825,0.9649,0.0263,0.3684,0.9211,0.3947,2.6754,0.5789,7.693,0.5789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,89931.0,2756.0,13.3,0.4,746211.0
