FID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
74,29,MISSOURI,MO,Camden,29029,"Camden County, Missouri",655.998393413,44152.0,0.0,41296.0,77.0,16389.0,482.0,7943.0,784.0,1635.0,330.0,24484.0,1046.0,3876.0,479.0,10938.0,72.0,8226.0,143.0,7522.0,544.0,837.0,162.4,2387.0,10.0,248.0,150.1,7041.0,591.8,3421.0,340.0,294.0,115.1,639.0,144.0,485.0,175.0,18.2,1.8,8.8,1.7,24484.0,1046.0,11.8,1.5,24.8,0.2,18.6,0.3,17.2,1.2,5.1,1.0,5.4,0.0,0.6,0.4,17.1,1.4,8.3,0.8,1.8,0.7,3.9,0.8,1.1,0.4,0.5351,0.807,0.193,0.2632,1.7982,0.4737,0.9561,0.0526,0.5,0.0351,1.5439,0.2018,0.4298,0.7193,1.1491,0.5965,0.9825,0.2632,0.4912,0.0877,0.1579,1.9825,0.2368,6.4737,0.2807,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,7173.0,597.0,16.4,1.4,42940.0
75,29,MISSOURI,MO,Cedar,29039,"Cedar County, Missouri",474.482754372,13932.0,0.0,7184.0,43.0,5886.0,226.0,3171.0,576.0,561.0,170.0,18932.0,1627.0,1505.0,234.0,3252.0,47.0,3327.0,27.0,3035.0,423.0,440.0,121.0,676.0,43.0,0.0,68.0,69.0,30.9,1085.0,219.0,23.0,23.8,237.0,99.0,163.0,84.0,23.3,4.2,10.0,2.9,18932.0,1627.0,15.6,2.4,23.3,0.3,23.9,0.2,22.0,3.0,7.5,2.0,4.9,0.3,0.0,0.5,1.0,0.4,15.1,3.1,0.4,0.4,4.0,1.7,1.2,0.6,0.8684,0.9035,0.8596,0.6491,3.2807,0.8684,0.9211,0.6754,0.8158,0.3333,2.7456,0.9035,0.2982,0.0,0.2982,0.0614,0.2018,0.7105,0.0,0.1053,0.1754,1.193,0.0,7.5175,0.5351,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2221.0,507.0,16.1,3.7,11842.0
76,29,MISSOURI,MO,Crawford,29055,"Crawford County, Missouri",742.516095982,24545.0,0.0,11931.0,64.0,9290.0,291.0,5166.0,738.0,1271.0,280.0,20373.0,1531.0,3665.0,427.0,4387.0,40.0,5812.0,37.0,5245.0,412.0,904.0,192.2,1032.0,20.0,12.0,79.8,218.0,102.2,1744.0,237.0,231.0,100.6,439.0,98.0,395.0,144.0,21.4,3.0,11.9,2.5,20373.0,1531.0,21.7,2.5,17.9,0.2,23.7,0.2,21.6,1.7,9.7,2.0,4.2,0.1,0.1,0.3,1.8,0.9,14.6,2.0,2.5,1.1,4.7,1.0,1.6,0.6,0.7632,1.0,0.6667,0.9123,3.3421,0.8947,0.5175,0.6491,0.7807,0.7895,2.7368,0.8947,0.1667,0.1667,0.3333,0.0789,0.4912,0.693,0.7807,0.2368,0.386,2.5877,0.5263,9.0,0.7807,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3829.0,508.0,15.8,2.1,20331.0
77,29,MISSOURI,MO,Daviess,29061,"Daviess County, Missouri",563.236077869,8257.0,0.0,4195.0,56.0,3040.0,105.0,1301.0,225.0,170.0,48.0,21356.0,1104.0,867.0,109.0,1549.0,13.0,2153.0,0.0,1326.0,126.0,149.0,50.0,300.0,15.0,91.0,60.2,57.0,20.5,395.0,63.0,111.0,36.7,223.0,43.0,208.0,96.0,16.3,2.8,4.7,1.3,21356.0,1104.0,15.9,2.0,18.8,0.2,26.1,0.0,16.5,1.5,4.9,1.6,3.6,0.2,1.2,0.8,1.4,0.5,9.4,1.6,3.7,1.2,7.3,1.3,2.5,1.2,0.3421,0.2105,0.4561,0.6579,1.6667,0.4211,0.5702,0.9474,0.4211,0.0175,1.9561,0.4474,0.1053,0.8596,0.9649,0.5263,0.3158,0.3421,0.9474,0.7632,0.6491,3.0175,0.807,7.6053,0.5614,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1522.0,252.0,18.9,3.1,5951.0
78,29,MISSOURI,MO,Grundy,29079,"Grundy County, Missouri",435.285117168,10231.0,0.0,4995.0,63.0,4056.0,201.0,1975.0,352.0,207.0,63.0,20746.0,966.0,887.0,139.0,2152.0,32.0,2417.0,71.0,1561.0,157.0,286.0,83.5,518.0,8.0,87.0,100.1,144.0,55.2,359.0,77.0,166.0,61.2,389.0,92.0,326.0,114.0,19.9,3.5,4.5,1.4,20746.0,966.0,12.9,2.0,21.0,0.3,23.6,0.7,15.5,1.5,7.1,2.0,5.1,0.1,0.9,1.1,2.9,1.1,7.2,1.5,4.1,1.5,9.6,2.2,3.2,1.1,0.7018,0.1404,0.5526,0.3947,1.7895,0.4649,0.8158,0.6228,0.3158,0.2456,2.0,0.4912,0.3421,0.8246,1.1667,0.6228,0.7193,0.2018,0.9649,0.9386,0.7018,3.5263,0.9737,8.4825,0.7018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1654.0,264.0,16.5,2.6,9799.0
79,29,MISSOURI,MO,Jasper,29097,"Jasper County, Missouri",638.4791086,117376.0,0.0,51373.0,107.0,45731.0,665.0,20393.0,1470.0,3575.0,399.0,22767.0,793.0,9864.0,648.0,16232.0,95.0,29823.0,56.0,15962.0,873.0,4177.0,465.0,17660.0,95.0,1870.0,318.3,2302.0,380.8,2772.0,346.0,946.0,229.7,2799.0,367.0,2416.0,249.0,17.8,1.3,6.0,0.7,22767.0,793.0,13.0,0.8,13.8,0.1,25.4,0.0,13.7,0.8,9.1,1.0,15.0,0.1,1.7,0.3,4.5,0.7,5.4,0.7,2.1,0.5,6.1,0.8,2.1,0.2,0.5,0.4386,0.3596,0.4123,1.7105,0.4474,0.0877,0.9035,0.1404,0.7018,1.8333,0.3684,0.8421,0.9386,1.7807,0.9123,0.8246,0.1316,0.5965,0.4737,0.5702,2.5965,0.5439,7.9211,0.614,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16483.0,1243.0,14.2,1.1,130667.0
80,29,MISSOURI,MO,Lawrence,29109,"Lawrence County, Missouri",611.736639288,38204.0,0.0,16573.0,71.0,14574.0,342.0,6803.0,733.0,1206.0,241.0,19973.0,863.0,4062.0,471.0,6610.0,48.0,9754.0,63.0,6104.0,436.0,1062.0,186.5,3852.0,23.0,554.0,207.7,228.0,83.6,1933.0,263.0,436.0,144.5,963.0,190.0,604.0,119.0,18.1,2.0,7.0,1.4,19973.0,863.0,15.9,1.9,17.3,0.1,25.5,0.2,16.2,1.2,7.3,1.3,10.1,0.1,1.6,0.6,1.4,0.5,11.7,1.6,3.0,1.0,6.6,1.3,1.6,0.3,0.5263,0.614,0.7018,0.6579,2.5,0.6754,0.4211,0.9211,0.4035,0.2895,2.0351,0.5439,0.693,0.9298,1.6228,0.8596,0.3246,0.5439,0.8509,0.6228,0.3772,2.7193,0.6053,8.8772,0.7632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5835.0,801.0,15.5,2.1,31227.0
81,29,MISSOURI,MO,Morgan,29141,"Morgan County, Missouri",597.629791904,20182.0,0.0,15415.0,68.0,7883.0,291.0,4798.0,545.0,744.0,169.0,19555.0,1661.0,3197.0,370.0,4740.0,57.0,4449.0,0.0,3854.0,366.0,501.0,125.7,1080.0,20.0,117.0,93.9,358.0,128.3,3026.0,366.0,102.0,59.2,693.0,184.0,353.0,155.0,24.2,2.7,9.5,2.1,19555.0,1661.0,22.2,2.6,23.5,0.3,22.0,0.0,19.4,1.8,6.4,1.6,5.4,0.1,0.6,0.5,2.3,0.8,19.6,2.4,1.3,0.7,8.8,2.3,1.7,0.8,0.8947,0.8596,0.7544,0.9386,3.4474,0.9211,0.9298,0.2895,0.6842,0.1579,2.0614,0.5614,0.4123,0.7368,1.1491,0.5965,0.6228,0.8772,0.2105,0.8947,0.4386,3.0439,0.8246,9.7018,0.9123,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4793.0,535.0,24.1,2.7,16180.0
82,29,MISSOURI,MO,Nodaway,29147,"Nodaway County, Missouri",876.963741369,23026.0,0.0,9628.0,134.0,8465.0,246.0,5046.0,523.0,653.0,143.0,19378.0,977.0,933.0,160.0,3245.0,53.0,3851.0,52.0,2980.0,293.0,636.0,182.4,1621.0,7.0,38.0,74.1,483.0,171.6,571.0,123.0,100.0,70.8,485.0,144.0,3337.0,299.0,25.5,2.6,5.4,1.2,19378.0,977.0,7.4,1.3,14.1,0.2,16.7,0.2,13.4,1.3,7.5,2.1,7.0,0.0,0.2,0.3,5.0,1.8,5.9,1.3,1.2,0.8,5.7,1.7,14.5,1.3,0.9298,0.2807,0.7895,0.0439,2.0439,0.5351,0.114,0.0,0.114,0.3509,0.5789,0.0175,0.6053,0.3246,0.9298,0.5,0.8596,0.1667,0.1228,0.4123,0.9825,2.5439,0.5,6.0965,0.193,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2432.0,373.0,11.0,1.7,22998.0
83,29,MISSOURI,MO,Putnam,29171,"Putnam County, Missouri",517.316391717,4877.0,0.0,2969.0,40.0,2121.0,127.0,900.0,218.0,60.0,32.0,20636.0,1533.0,396.0,101.0,1127.0,3.0,1064.0,28.0,1073.0,137.0,233.0,68.2,161.0,11.0,36.0,59.8,40.0,34.5,279.0,93.0,35.0,34.5,176.0,52.0,71.0,83.0,18.7,4.5,2.7,1.5,20636.0,1533.0,11.5,3.0,23.1,0.1,21.8,0.6,22.3,2.7,11.0,3.1,3.3,0.2,0.8,1.3,1.3,1.2,9.4,3.1,1.7,1.6,8.3,2.3,1.5,1.7,0.5965,0.0,0.5965,0.2456,1.4386,0.3158,0.9123,0.2544,0.8333,0.9211,2.9211,0.9737,0.0702,0.807,0.8772,0.4474,0.307,0.3421,0.4123,0.8421,0.3509,2.2544,0.3421,7.4912,0.5088,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,704.0,244.0,14.6,5.1,3568.0
